ticker,name_zh,sector_zh,asset_type
EXPE,Expedia,非必需消费品,stock
EXR,Extra Space Storage,房地产,stock
F,福特汽车,非必需消费品,stock
FANG,钻石岩能源,能源,stock
FAST,快扣,工业,stock
FCX,自由港麦克莫兰,原材料,stock
FDC,第一数据,信息技术,stock
FDS,FactSet研究系统,金融,stock
FDX,联邦快递,工业,stock
FE,第一能源,公用事业,stock
FFIV,F5网络,信息技术,stock
FI,Fidelity National Information Services,信息技术,stock
FICO,费埃哲,信息技术,stock
FIS,富达国家信息服务,信息技术,stock
FISV,Fiserv,信息技术,stock
FITB,第五三银行,金融,stock
FLT,FleetCor,信息技术,stock
FMC,FMC公司,原材料,stock
FOX,福克斯广播公司A,媒体娱乐,stock
FOXA,福克斯广播公司B,媒体娱乐,stock
FRT,Federal Realty Investment Trust,房地产,stock
FSLR,第一太阳能,信息技术,stock
FTNT,飞塔,信息技术,stock
FTV,Fortive,工业,stock
GD,通用动力,工业,stock
GE,通用电气,工业,stock
GEHC,GE医疗,医疗保健,stock
GEV,GE Vernova,工业,stock
GILD,吉利德科学,医疗保健,stock
GIS,通用磨坊,日常消费品,stock
GL,Globe Life,金融,stock
GLW,康宁,信息技术,stock
GM,通用汽车,非必需消费品,stock
GNRC,Generac Holdings,工业,stock
GOOG,谷歌C,信息技术,stock
GOOGL,谷歌A,信息技术,stock
GPC,Genuine Parts,非必需消费品,stock
GPN,环汇,信息技术,stock
GRMN,佳明,非必需消费品,stock
GS,高盛,金融,stock
GWW,固安捷,工业,stock
HAL,哈里伯顿,能源,stock
HAS,孩之宝,非必需消费品,stock
HBAN,亨廷顿银行,金融,stock
HCA,HCA医疗,医疗保健,stock
HD,家得宝,非必需消费品,stock
HES,赫斯,能源,stock
HIG,哈特福德金融,金融,stock
HII,亨廷顿英格尔斯工业,工业,stock
HLT,希尔顿,非必需消费品,stock
HOLX,霍洛吉克,医疗保健,stock
HON,霍尼韦尔,工业,stock
HPE,慧与,信息技术,stock
HPQ,惠普,信息技术,stock
HRL,荷美尔食品,日常消费品,stock
HSIC,亨利施恩,医疗保健,stock
HST,Host Hotels & Resorts,房地产,stock
HSY,好时,日常消费品,stock
HUBB,Hubbell,工业,stock
HUM,哈门那,医疗保健,stock
HWM,Howmet Aerospace,工业,stock
IBM,IBM,信息技术,stock
ICE,洲际交易所,金融,stock
IDXX,爱德士,医疗保健,stock
IEX,IDEX,工业,stock
IFF,国际香料,原材料,stock
ILMN,因美纳,医疗保健,stock
INCY,因赛特,医疗保健,stock
INTC,英特尔,半导体,stock
INTU,直觉,信息技术,stock
IP,国际纸业,原材料,stock
IPG,埃培智,媒体娱乐,stock
IQV,昆泰纬达,医疗保健,stock
IR,英格索兰,工业,stock
IRM,铁山,房地产,stock
ISRG,直觉外科,医疗保健,stock
IT,嘉信理财,信息技术,stock
ITW,斯坦利,工业,stock
IVZ,景顺,金融,stock
J,雅各布斯工程,工业,stock
JBL,捷普,信息技术,stock
JCI,江森自控,工业,stock
JKHY,Jack Henry & Associates,信息技术,stock
JNJ,强生,医疗保健,stock
JNPR,瞻博网络,信息技术,stock
JPM,摩根大通,金融,stock
K,家乐氏,日常消费品,stock
KDP,Keurig Dr Pepper,日常消费品,stock
KEY,KeyCorp,金融,stock
KEYS,是德科技,信息技术,stock
KHC,卡夫亨氏,日常消费品,stock
KIM,金佰利地产,房地产,stock
KLAC,科磊,半导体,stock
KMB,金佰利,日常消费品,stock
KMI,金德摩根,能源,stock
KMX,卡迈克斯,非必需消费品,stock
KO,可口可乐,日常消费品,stock
KR,克罗格,日常消费品,stock
KVUE,Kenvue,日常消费品,stock
L,Loews,金融,stock
LDOS,Leidos,信息技术,stock
LEN,莱纳,非必需消费品,stock
LH,LabCorp,医疗保健,stock
LHX,L3哈里斯科技,工业,stock
LIN,林德,原材料,stock
LKQ,LKQ,非必需消费品,stock
LLY,礼来,医疗保健,stock
LMT,洛克希德马丁,工业,stock
LNT,Alliant Energy,公用事业,stock
LOW,劳氏,非必需消费品,stock
LRCX,泛林集团,半导体,stock
LULU,露露柠檬,非必需消费品,stock
LUV,西南航空,工业,stock
LVS,拉斯维加斯金沙,非必需消费品,stock
LW,兰姆韦斯顿,日常消费品,stock
LYB,利安德巴塞尔,原材料,stock
LYV,Live Nation,媒体娱乐,stock
MA,万事达,信息技术,stock
MAA,Mid-America Apartment Communities,房地产,stock
MAR,万豪国际,非必需消费品,stock
MAS,美信集成,工业,stock
MCD,麦当劳,非必需消费品,stock
MCHP,微芯科技,半导体,stock
MCK,麦克森,医疗保健,stock
MCO,穆迪,金融,stock
MDLZ,亿滋国际,日常消费品,stock
MDT,美敦力,医疗保健,stock
MET,大都会人寿,金融,stock
META,Meta Platforms,信息技术,stock
MGM,美高梅,非必需消费品,stock
MHK,莫霍克工业,非必需消费品,stock
MKC,味好美,日常消费品,stock
MKTX,MarketAxess,金融,stock
MLM,马丁玛丽埃塔,原材料,stock
MMC,美世咨询,金融,stock
MMM,3M公司,工业,stock
MNST,怪物饮料,日常消费品,stock
MO,奥驰亚,日常消费品,stock
MOH,Molina Healthcare,医疗保健,stock
MOS,美盛,原材料,stock
MPC,马拉松原油,能源,stock
MPWR,芯源系统,半导体,stock
MRK,默克,医疗保健,stock
MRNA,莫德纳,医疗保健,stock
MRO,马拉松石油,能源,stock
MS,摩根士丹利,金融,stock
MSCI,MSCI,金融,stock
MSFT,微软,信息技术,stock
MSI,摩托罗拉系统,信息技术,stock
MTB,M&T银行,金融,stock
MTCH,Match Group,信息技术,stock
MTD,梅特勒-托利多,医疗保健,stock
MU,美光科技,半导体,stock
NCLH,挪威邮轮,非必需消费品,stock
NDAQ,纳斯达克,金融,stock
NDSN,诺信,工业,stock
NEE,新纪元能源,公用事业,stock
NEM,纽蒙特矿业,原材料,stock
NFLX,奈飞,媒体娱乐,stock
NI,NiSource,公用事业,stock
NKE,耐克,非必需消费品,stock
NOC,诺斯洛普格鲁曼,工业,stock
NOW,ServiceNow,信息技术,stock
NRG,NRG能源,公用事业,stock
NSC,诺福克南方,工业,stock
NTAP,NetApp,信息技术,stock
NTRS,北方信托,金融,stock
NUE,纽柯,原材料,stock
NVDA,英伟达,半导体,stock
NVR,NVR,非必需消费品,stock
NWS,新闻集团B,媒体娱乐,stock
NWSA,新闻集团A,媒体娱乐,stock
NXPI,恩智浦,半导体,stock
O,房地产信托,房地产,stock
ODFL,Old Dominion Freight Line,工业,stock
OGN,Organon & Co.,医疗保健,stock
OKE,ONEOK,能源,stock
OMC,宏盟集团,媒体娱乐,stock
ON,安森美,半导体,stock
ORCL,甲骨文,信息技术,stock
ORLY,O'Reilly Automotive,非必需消费品,stock
OTIS,奥的斯,工业,stock
OXY,西方石油,能源,stock
PANW,帕洛阿尔托,信息技术,stock
PARA,派拉蒙环球,媒体娱乐,stock
PAYC,Paycom,信息技术,stock
PAYX,Paychex,信息技术,stock
PCAR,帕卡,工业,stock
PCG,太平洋煤气,公用事业,stock
PEAK,Healthpeak Properties,房地产,stock
PEG,新泽西公共事业集团,公用事业,stock
PEP,百事可乐,日常消费品,stock
PFE,辉瑞,医疗保健,stock
PFG,主要金融,金融,stock
PG,宝洁,日常消费品,stock
PGR,前进保险,金融,stock
PH,派克汉尼汾,工业,stock
PHM,普尔特,非必需消费品,stock
PKG,Packaging Corp of America,原材料,stock
PLD,普洛斯,房地产,stock
PM,菲利普莫里斯,日常消费品,stock
PNC,PNC金融服务,金融,stock
PNR,奔特力,工业,stock
PNW,Pinnacle West Capital,公用事业,stock
PODD,Insulet,医疗保健,stock
POOL,Pool Corporation,非必需消费品,stock
PPG,PPG工业,原材料,stock
PPL,PPL,公用事业,stock
PRU,保德信金融,金融,stock
PSA,Public Storage,房地产,stock
PSX,菲利普斯66,能源,stock
PTC,参数科技,信息技术,stock
PXD,先锋自然资源,能源,stock
PYPL,贝宝,信息技术,stock
QCOM,高通,半导体,stock
QRVO,Qorvo,半导体,stock
RCL,皇家加勒比邮轮,非必需消费品,stock
REG,Regency Centers,房地产,stock
REGN,再生元制药,医疗保健,stock
RF,Regions Financial,金融,stock
RHI,罗伯特哈夫,工业,stock
RJF,雷蒙詹姆斯金融,金融,stock
RL,拉夫劳伦,非必需消费品,stock
RMD,瑞思迈,医疗保健,stock
ROK,罗克韦尔自动化,工业,stock
ROP,Roper Technologies,工业,stock
ROST,罗斯百货,非必需消费品,stock
RSG,共和废品服务,工业,stock
RTX,雷神科技,工业,stock
RVTY,Revvity,医疗保健,stock
SBUX,星巴克,非必需消费品,stock
SCHW,嘉信理财,金融,stock
SCL,Stepan Company,原材料,stock
SEDG,SolarEdge,信息技术,stock
SEE,希悦尔,原材料,stock
SHW,宣伟,原材料,stock
SJM,斯马克,日常消费品,stock
SLB,斯伦贝谢,能源,stock
SNA,实耐宝,工业,stock
SNPS,新思科技,信息技术,stock
SO,南方公司,公用事业,stock
SOLV,Solventum,医疗保健,stock
SPG,西蒙地产,房地产,stock
SPGI,标普全球,金融,stock
SRE,桑普拉能源,公用事业,stock
STE,斯特瑞斯,医疗保健,stock
STLD,Steel Dynamics,原材料,stock
STT,道富银行,金融,stock
STX,希捷科技,信息技术,stock
STZ,星座品牌,日常消费品,stock
SWK,史丹利百得,工业,stock
SWKS,思佳讯,半导体,stock
SYF,同步金融,金融,stock
SYK,史赛克,医疗保健,stock
SYY,西斯科,日常消费品,stock
T,美国电话电报,通讯服务,stock
TAP,摩森康胜,日常消费品,stock
TDG,TransDigm,工业,stock
TDY,泰瑞达,信息技术,stock
TECH,Bio-Techne,医疗保健,stock
TEL,泰科电子,信息技术,stock
TER,泰瑞达,半导体,stock
TFC,Truist Financial,金融,stock
TFX,泰利福,医疗保健,stock
TGT,塔吉特,非必需消费品,stock
TJX,TJX公司,非必需消费品,stock
TMO,赛默飞世尔,医疗保健,stock
TMUS,T-Mobile US,通讯服务,stock
TPR,泰佩思琪,非必需消费品,stock
TRGP,Targa Resources,能源,stock
TRMB,天宝,信息技术,stock
TROW,普信集团,金融,stock
TRV,旅行者保险,金融,stock
TSCO,拖拉机供应,非必需消费品,stock
TSLA,特斯拉,非必需消费品,stock
TSN,泰森食品,日常消费品,stock
TT,天纳克,工业,stock
TTWO,Take-Two,媒体娱乐,stock
TXN,德州仪器,半导体,stock
TXT,德事隆,工业,stock
TYL,泰勒科技,信息技术,stock
UAL,联合航空,工业,stock
UDR,UDR,房地产,stock
UHS,联合健康服务,医疗保健,stock
ULTA,Ulta美容,非必需消费品,stock
UNH,联合健康,医疗保健,stock
UNP,联合太平洋,工业,stock
UPS,联合包裹,工业,stock
URI,联合租赁,工业,stock
USB,美国合众银行,金融,stock
V,Visa,信息技术,stock
VEEV,Veeva Systems,信息技术,stock
VER,Verisk Analytics,金融,stock
VFC,威富公司,非必需消费品,stock
VICI,VICI Properties,房地产,stock
VLO,瓦莱罗能源,能源,stock
VMC,火神材料,原材料,stock
VRSK,Verisk Analytics,工业,stock
VRSN,威瑞信,信息技术,stock
VRT,Vertiv Holdings,信息技术,stock
VTR,Ventas,房地产,stock
VTRS,辉瑞,医疗保健,stock
VZ,威瑞森,通讯服务,stock
WAB,威伯科,工业,stock
WAT,沃特世,医疗保健,stock
WBD,华纳兄弟探索,媒体娱乐,stock
WCN,Waste Connections,工业,stock
WDC,西部数据,信息技术,stock
WEC,WEC能源集团,公用事业,stock
WELL,Welltower,房地产,stock
WFC,富国银行,金融,stock
WHR,惠而浦,非必需消费品,stock
WM,废物管理,工业,stock
WMB,威廉姆斯,能源,stock
WMT,沃尔玛,日常消费品,stock
WRB,W. R. Berkley,金融,stock
WRK,WestRock,原材料,stock
WST,西部制药,医疗保健,stock
WTW,韦莱韬悦,金融,stock
WY,惠好,房地产,stock
WYNN,永利度假村,非必需消费品,stock
XEL,斯塞尔能源,公用事业,stock
XOM,埃克森美孚,能源,stock
XRAY,登士柏西诺德,医疗保健,stock
XYL,赛莱默,工业,stock
YUM,百胜餐饮,非必需消费品,stock
ZBH,捷迈邦美,医疗保健,stock
ZBRA,斑马技术,信息技术,stock
ZTS,硕腾,医疗保健,stock
